                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0722,                 2.8045,                 1.2774,                0.50321,                0.66079,                 0.6271,                0.41856,                0.98286,                 1.9472,                 1.2165,              0.0033282,              0.0033282,              0.0033282
                      2,                 1.0751,                 1.8417,                 1.2163,                0.65846,                0.78327,                0.78786,                0.52605,                 1.0105,                 1.3948,                 1.2253,              0.0066395,              0.0066395,              0.0066395
                      3,                 1.1159,                 1.7506,                 1.2202,                0.48436,                0.71309,                0.64072,                0.41153,                 1.0703,                 1.7382,                 1.2632,              0.0099289,              0.0099289,              0.0099289
                      4,                 1.1344,                 1.6633,                 1.2262,                0.63469,                0.71627,                0.74267,                0.48408,                 1.0317,                 1.2684,                 1.2412,               0.009901,               0.009901,               0.009901
                      5,                 1.1077,                 1.5072,                 1.2035,                0.70886,                0.78876,                0.79829,                0.53711,                 1.0561,                 1.0457,                 1.2342,               0.009868,               0.009868,               0.009868
                      6,                 1.0865,                 1.4067,                 1.1922,                0.76399,                0.80197,                0.82291,                0.55542,                 1.0396,                 1.0003,                 1.2216,               0.009835,               0.009835,               0.009835
                      7,                 1.0601,                 1.3227,                 1.1832,                0.74734,                0.81384,                0.81977,                0.56318,                 1.0164,                0.97286,                 1.2127,               0.009802,               0.009802,               0.009802
                      8,                 1.0523,                 1.2816,                 1.1748,                 0.7957,                0.80287,                0.84046,                0.58234,                0.99195,                0.90474,                  1.188,               0.009769,               0.009769,               0.009769
                      9,                 1.0328,                 1.2396,                 1.1653,                 0.7598,                0.87377,                0.85767,                0.59832,                0.97505,                0.86153,                   1.18,               0.009736,               0.009736,               0.009736
                     10,                 1.0262,                 1.2161,                  1.167,                0.79313,                0.81461,                0.84474,                0.58142,                0.99568,                0.90895,                 1.1977,               0.009703,               0.009703,               0.009703
                     11,                   1.02,                 1.1891,                  1.162,                0.80782,                0.82592,                0.85642,                0.58989,                0.98274,                0.86997,                  1.194,                0.00967,                0.00967,                0.00967
                     12,                 1.0114,                 1.1642,                 1.1551,                0.82942,                0.81736,                0.86245,                0.59799,                 1.0007,                0.81508,                 1.2147,               0.009637,               0.009637,               0.009637
                     13,                0.99551,                 1.1347,                 1.1542,                0.80243,                  0.857,                0.86801,                0.61112,                0.99575,                0.78894,                 1.1988,               0.009604,               0.009604,               0.009604
                     14,                0.99781,                 1.1027,                 1.1549,                 0.7729,                0.87999,                0.86746,                0.60483,                 1.0003,                0.76909,                 1.1988,               0.009571,               0.009571,               0.009571
                     15,                0.99377,                 1.0936,                 1.1499,                0.80503,                 0.8486,                  0.863,                0.60888,                0.96657,                0.78647,                  1.183,               0.009538,               0.009538,               0.009538
