                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0011,                 3.1188,                 1.3596,                0.84525,                 5.8389,                 1.2813,                0.43977,                0.57455,                0.52333,                0.33617,                 1.0555,                   2.73,                  1.608,                0.99305,                  8.063,                 1.6223,               0.003323,               0.003323,               0.003323
                      2,                 1.0554,                 2.0331,                 1.3431,                  1.018,                 3.3674,                 1.3079,                0.51274,                0.56765,                0.57099,                0.36931,                 1.0353,                 2.3978,                 1.5892,                 1.0407,                 3.4711,                  1.583,              0.0066344,              0.0066344,              0.0066344
                      3,                 1.0907,                 1.8651,                 1.3517,                 1.1213,                 2.1457,                 1.3545,                0.43454,                0.50083,                0.42031,                0.25134,                 1.2186,                 2.5489,                 1.7648,                  1.215,                 2.3554,                    1.8,              0.0099238,              0.0099238,              0.0099238
                      4,                 1.1198,                  1.715,                 1.3719,                 1.1813,                 1.8333,                  1.391,                0.51409,                0.62336,                0.57449,                 0.3761,                 1.0405,                 1.5887,                 1.5721,                 1.1014,                 1.5371,                 1.6761,               0.009901,               0.009901,               0.009901
                      5,                 1.0848,                 1.4651,                 1.3419,                  1.144,                 1.5796,                 1.3569,                0.47532,                0.51331,                0.46154,                0.28404,                 1.1746,                 1.8609,                 1.8052,                 1.1769,                 1.9531,                 1.7614,               0.009901,               0.009901,               0.009901
                      6,                 1.0648,                 1.3653,                 1.3266,                 1.1088,                 1.4763,                 1.3339,                0.63094,                0.71282,                0.71889,                0.49252,                 1.0216,                 1.1416,                 1.5085,                 1.0062,                 1.1458,                 1.4906,               0.009868,               0.009868,               0.009868
                      7,                 1.0374,                 1.2853,                 1.3076,                 1.0947,                 1.3664,                  1.318,                0.69403,                0.78397,                0.79191,                0.53293,                0.99578,                 1.0046,                  1.489,                 1.0224,                0.96175,                 1.5076,               0.009835,               0.009835,               0.009835
                      8,                  1.023,                 1.2271,                 1.2977,                 1.0748,                 1.2883,                  1.303,                0.67715,                0.77033,                0.79156,                0.54992,                0.99069,                  0.973,                 1.4462,                0.97941,                0.96774,                 1.4627,               0.009802,               0.009802,               0.009802
                      9,                 0.9986,                 1.1805,                 1.2866,                 1.0595,                 1.2455,                    1.3,                0.67253,                0.76052,                0.78215,                0.52522,                 1.0625,                 1.0256,                 1.5451,                 1.0547,                0.95888,                  1.535,               0.009769,               0.009769,               0.009769
                     10,                0.99648,                 1.1338,                 1.2814,                 1.0454,                 1.2082,                 1.2894,                0.72306,                0.77236,                0.81559,                0.56252,                0.98304,                0.92759,                 1.4609,                 1.0024,                0.88908,                 1.4672,               0.009736,               0.009736,               0.009736
