                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79016,                0.67639,                 1.1666,                0.83385,                0.70883,                 1.1782,                0.86782,                0.89915,                0.92672,                 0.6477,                 1.0026,                0.61119,                 1.4769,                 1.0301,                0.53639,                 1.4829,               0.003323,               0.003323,               0.003323
                      2,                0.78936,                0.66383,                 1.1689,                0.83125,                0.69699,                 1.1801,                0.86833,                0.88029,                0.91622,                0.63405,                  1.005,                0.64261,                 1.4704,                 1.0238,                 0.5795,                 1.4682,               0.006555,               0.006555,               0.006555
                      3,                0.80951,                0.68688,                  1.176,                0.85317,                0.72175,                 1.1856,                0.85038,                0.87656,                0.90483,                0.61289,                 1.0555,                0.67895,                 1.5044,                 1.0874,                0.60759,                 1.5163,              0.0096854,              0.0096854,              0.0096854
                      4,                0.84553,                0.75655,                 1.1997,                0.89805,                0.79072,                 1.2122,                0.84165,                0.87162,                0.90607,                0.62692,                 1.0184,                0.65939,                 1.4894,                 1.0365,                0.58745,                 1.4792,              0.0095431,              0.0095431,              0.0095431
                      5,                0.85296,                 0.7628,                  1.202,                0.90624,                0.79966,                 1.2166,                0.82294,                0.84339,                0.87708,                0.60209,                  1.018,                0.73074,                 1.4672,                 1.0536,                0.67757,                 1.4834,              0.0095431,              0.0095431,              0.0095431
                      6,                0.85278,                0.76243,                 1.2006,                0.90669,                0.79775,                 1.2135,                0.84424,                0.88348,                0.90597,                0.62255,                 1.0133,                0.65655,                 1.4922,                 1.0306,                  0.587,                 1.4933,              0.0093908,              0.0093908,              0.0093908
                      7,                0.84867,                0.75757,                 1.1974,                0.90399,                0.79771,                 1.2115,                0.84907,                0.86929,                0.89348,                0.59781,                 1.0569,                0.72326,                  1.503,                 1.0859,                0.66142,                 1.5074,              0.0092385,              0.0092385,              0.0092385
                      8,                0.83771,                 0.7392,                   1.19,                0.89195,                0.77375,                 1.2044,                0.85977,                0.87086,                0.89853,                0.60983,                 1.0497,                0.67294,                 1.4945,                 1.0613,                0.61127,                 1.4929,              0.0090862,              0.0090862,              0.0090862
                      9,                0.83103,                 0.7317,                 1.1887,                0.88762,                0.76393,                 1.2036,                0.84338,                0.85705,                0.89176,                0.60235,                 1.0285,                0.65991,                 1.4915,                 1.0513,                0.59382,                 1.4959,              0.0089338,              0.0089338,              0.0089338
                     10,                 0.8304,                0.72788,                 1.1857,                0.88899,                0.75662,                 1.2015,                 0.8654,                0.88144,                0.91259,                0.62144,                 1.0249,                0.65674,                 1.4941,                 1.0526,                0.58322,                 1.5026,              0.0087815,              0.0087815,              0.0087815
                     11,                0.83207,                0.72213,                 1.1866,                0.88836,                0.75041,                 1.2037,                0.82446,                0.88883,                 0.8977,                0.59714,                 1.0658,                0.65697,                 1.5183,                 1.0945,                0.60641,                 1.5259,              0.0086292,              0.0086292,              0.0086292
                     12,                0.81632,                0.70964,                 1.1794,                0.87552,                0.73621,                 1.1949,                0.85325,                0.87752,                 0.9066,                0.61948,                 1.0189,                0.63703,                 1.4731,                 1.0521,                0.58858,                 1.5014,              0.0084769,              0.0084769,              0.0084769
                     13,                 0.8216,                0.70872,                 1.1833,                 0.8766,                0.73592,                 1.1967,                0.84004,                0.86062,                0.88571,                0.59782,                 1.0554,                0.69607,                 1.5162,                 1.0729,                0.64308,                  1.518,              0.0083246,              0.0083246,              0.0083246
                     14,                0.80992,                0.69078,                 1.1765,                0.86254,                0.72898,                 1.1901,                0.83924,                0.87351,                0.89908,                0.61037,                  1.044,                0.67855,                 1.5314,                 1.0707,                 0.6259,                 1.5457,              0.0081723,              0.0081723,              0.0081723
                     15,                0.81198,                0.69873,                 1.1766,                0.86241,                0.73963,                 1.1886,                0.87067,                 0.8728,                0.90433,                0.61397,                 1.0535,                0.67045,                 1.5191,                 1.0737,                0.61653,                 1.5256,                0.00802,                0.00802,                0.00802
                     16,                0.79982,                0.68164,                 1.1712,                0.85384,                0.72499,                 1.1849,                0.85659,                0.84277,                0.89098,                0.60536,                 1.0323,                0.68317,                 1.5071,                 1.0501,                 0.6636,                 1.5171,              0.0078677,              0.0078677,              0.0078677
                     17,                0.79417,                0.67434,                 1.1658,                0.84294,                0.71086,                 1.1785,                0.86706,                0.83627,                0.89095,                0.60942,                 1.0415,                0.67525,                 1.5389,                 1.0595,                0.63932,                 1.5352,              0.0077154,              0.0077154,              0.0077154
                     18,                0.79087,                0.66906,                 1.1666,                0.84321,                0.70817,                 1.1798,                0.85097,                0.87965,                0.90458,                 0.6191,                 1.0219,                0.66474,                 1.5265,                 1.0542,                0.61436,                 1.5284,              0.0075631,              0.0075631,              0.0075631
                     19,                0.79366,                0.66797,                 1.1673,                0.84252,                0.69976,                 1.1791,                0.85372,                0.86791,                0.88886,                0.59719,                 1.0501,                0.71333,                  1.529,                 1.0638,                0.68478,                 1.5312,              0.0074108,              0.0074108,              0.0074108
                     20,                0.78352,                0.66541,                 1.1615,                0.82965,                 0.7011,                 1.1724,                0.87341,                0.85204,                 0.8964,                0.60845,                 1.0415,                0.67228,                 1.5184,                 1.0721,                0.63558,                 1.5368,              0.0072585,              0.0072585,              0.0072585
                     21,                0.77793,                0.65167,                 1.1574,                0.82753,                  0.686,                 1.1701,                0.84542,                0.87917,                0.89414,                0.60764,                 1.0325,                0.67163,                 1.5203,                 1.0471,                0.63572,                 1.5104,              0.0071062,              0.0071062,              0.0071062
                     22,                0.77025,                0.63877,                 1.1541,                0.81775,                0.66807,                 1.1666,                0.84719,                0.90498,                0.90846,                0.61569,                 1.0251,                0.62482,                 1.5193,                 1.0604,                 0.5889,                 1.5357,              0.0069538,              0.0069538,              0.0069538
                     23,                0.77087,                0.63765,                 1.1575,                  0.821,                 0.6697,                 1.1716,                0.85976,                0.86604,                0.89729,                0.60803,                 1.0596,                0.66992,                 1.5174,                 1.0768,                0.63121,                 1.5244,              0.0068015,              0.0068015,              0.0068015
                     24,                0.76823,                0.63626,                 1.1524,                0.81938,                0.67319,                  1.165,                 0.8734,                0.86889,                0.90431,                0.61201,                  1.049,                0.65258,                 1.5486,                  1.081,                0.59504,                  1.564,              0.0066492,              0.0066492,              0.0066492
                     25,                0.76031,                0.62167,                 1.1483,                0.81032,                0.65445,                 1.1612,                0.87732,                0.87091,                0.90507,                0.61271,                 1.0417,                0.67175,                 1.5412,                 1.0823,                0.61389,                 1.5571,              0.0064969,              0.0064969,              0.0064969
                     26,                0.75708,                0.61592,                 1.1472,                0.80614,                0.64608,                 1.1598,                0.83049,                0.90149,                0.90387,                0.60745,                 1.0637,                0.64315,                  1.556,                 1.0908,                0.60014,                 1.5677,              0.0063446,              0.0063446,              0.0063446
                     27,                0.74718,                0.60697,                 1.1433,                0.79593,                0.63464,                 1.1554,                0.87978,                0.84444,                0.90167,                0.60587,                 1.0617,                0.64451,                 1.5611,                 1.0934,                 0.6055,                 1.5635,              0.0061923,              0.0061923,              0.0061923
                     28,                0.74432,                 0.6018,                 1.1412,                 0.7943,                0.63208,                 1.1552,                0.88651,                0.86167,                0.90663,                0.60471,                  1.072,                0.63377,                 1.5739,                 1.0944,                0.59943,                 1.5681,                0.00604,                0.00604,                0.00604
                     29,                0.73505,                0.59156,                 1.1352,                0.78114,                0.62106,                 1.1481,                0.86245,                0.88692,                0.90975,                0.61392,                 1.0698,                0.62184,                 1.5518,                  1.097,                0.58656,                 1.5648,              0.0058877,              0.0058877,              0.0058877
                     30,                0.73642,                0.58441,                 1.1366,                0.78407,                0.61234,                 1.1484,                0.86098,                0.90344,                0.91394,                0.60987,                  1.082,                0.63887,                  1.572,                 1.1015,                0.59971,                 1.5711,              0.0057354,              0.0057354,              0.0057354
                     31,                0.73043,                0.58259,                 1.1316,                0.78135,                0.60616,                 1.1444,                0.88809,                0.87796,                0.91735,                0.61596,                 1.0663,                 0.6189,                  1.579,                 1.0837,                0.58535,                 1.5803,              0.0055831,              0.0055831,              0.0055831
                     32,                0.71903,                0.57219,                 1.1254,                0.76738,                0.60739,                 1.1386,                0.88261,                0.88812,                0.91284,                0.59983,                 1.0913,                0.62305,                 1.6005,                 1.1166,                0.57608,                 1.5971,              0.0054308,              0.0054308,              0.0054308
                     33,                0.72351,                0.57468,                 1.1282,                0.77445,                0.60622,                 1.1427,                0.88403,                0.88397,                0.91007,                0.61053,                  1.055,                0.62654,                 1.5779,                 1.0849,                 0.5762,                 1.5864,              0.0052785,              0.0052785,              0.0052785
                     34,                0.71422,                0.56835,                 1.1236,                0.76411,                0.59802,                 1.1353,                 0.8682,                0.89899,                0.90472,                0.60915,                 1.0516,                0.63559,                 1.5579,                 1.0806,                0.58254,                 1.5688,              0.0051262,              0.0051262,              0.0051262
                     35,                0.70746,                0.55322,                 1.1194,                0.75523,                 0.5813,                 1.1321,                 0.8811,                0.87582,                0.90811,                0.60916,                 1.0488,                0.64511,                 1.5692,                 1.0825,                0.61886,                 1.5855,              0.0049738,              0.0049738,              0.0049738
                     36,                0.69684,                0.54724,                 1.1118,                0.74627,                0.57149,                 1.1252,                0.87592,                0.89244,                0.91359,                0.61347,                 1.0656,                0.63341,                 1.5824,                 1.0937,                0.59464,                 1.5898,              0.0048215,              0.0048215,              0.0048215
                     37,                0.69648,                0.54789,                 1.1124,                0.74404,                0.57389,                 1.1249,                0.89274,                 0.8831,                0.91636,                0.61406,                 1.0546,                0.63094,                 1.5789,                 1.0892,                0.59611,                  1.587,              0.0046692,              0.0046692,              0.0046692
                     38,                0.69662,                0.54506,                  1.113,                0.74508,                0.56743,                 1.1249,                0.86958,                0.88618,                0.91061,                0.61686,                 1.0557,                0.61307,                 1.5888,                 1.0812,                0.58584,                 1.6012,              0.0045169,              0.0045169,              0.0045169
                     39,                0.68923,                 0.5429,                 1.1122,                0.73451,                0.57023,                 1.1237,                0.88142,                0.88283,                0.91117,                0.61389,                 1.0583,                0.62548,                 1.5916,                 1.0803,                0.60949,                 1.5941,              0.0043646,              0.0043646,              0.0043646
                     40,                0.67869,                0.52608,                 1.1048,                0.72491,                0.54674,                  1.117,                0.88712,                0.87778,                0.90694,                0.61095,                 1.0765,                0.62505,                 1.6204,                 1.0949,                0.61261,                 1.6111,              0.0042123,              0.0042123,              0.0042123
                     41,                0.67659,                0.52684,                 1.1067,                0.72199,                0.55569,                 1.1186,                0.87319,                0.89674,                0.90987,                0.61696,                 1.0821,                0.63068,                 1.6219,                 1.0973,                0.60415,                 1.6064,                0.00406,                0.00406,                0.00406
                     42,                0.66906,                0.51852,                 1.1018,                0.71145,                0.55093,                 1.1124,                0.89358,                0.88293,                0.91522,                0.61991,                 1.0655,                0.63047,                 1.6077,                  1.085,                0.59596,                 1.6032,              0.0039077,              0.0039077,              0.0039077
                     43,                0.67399,                0.53216,                 1.1011,                0.72057,                0.55912,                 1.1133,                0.90081,                 0.8832,                0.92185,                0.61872,                 1.0654,                0.61861,                 1.6125,                 1.0962,                0.58939,                 1.6213,              0.0037554,              0.0037554,              0.0037554
