               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.024256,            0.010764,            0.016868,             0.87299,             0.88889,             0.89661,             0.58323,             0.01706,           0.0032775,           0.0068454,             0.07037,           0.0032922,           0.0032922
                   1,            0.025641,            0.010839,            0.017317,             0.85223,             0.88105,             0.88859,              0.5725,            0.015915,            0.003394,           0.0071049,            0.040357,           0.0066124,           0.0066124
                   2,            0.025514,            0.011139,            0.019052,             0.81014,             0.86106,             0.86519,             0.54745,            0.016827,           0.0034975,            0.011037,            0.010331,           0.0099194,           0.0099194
                   3,            0.026248,            0.011507,            0.022601,             0.79159,             0.82969,             0.83929,             0.50431,            0.017906,           0.0036083,            0.010963,           0.0099406,           0.0099406,           0.0099406
                   4,            0.026129,            0.011508,            0.022996,             0.78928,             0.85918,             0.86859,             0.54496,            0.017486,           0.0036028,            0.009366,           0.0099406,           0.0099406,           0.0099406
                   5,            0.026175,            0.011609,            0.022484,             0.81507,             0.84928,             0.87233,             0.55524,            0.016073,           0.0035581,            0.010432,           0.0099208,           0.0099208,           0.0099208
                   6,            0.026099,            0.011452,            0.022545,              0.8117,             0.83409,             0.85455,             0.55274,            0.015936,           0.0035162,            0.010373,            0.009901,            0.009901,            0.009901
                   7,            0.025952,            0.011611,            0.022712,             0.79386,             0.76733,             0.82439,              0.5169,            0.016559,           0.0036984,            0.013485,           0.0098812,           0.0098812,           0.0098812
                   8,            0.026062,             0.01148,            0.022699,             0.82843,             0.83071,             0.85873,             0.53995,            0.015971,           0.0036512,            0.014161,           0.0098614,           0.0098614,           0.0098614
                   9,            0.026072,             0.01146,             0.02263,             0.80271,             0.81164,             0.83937,             0.52908,            0.015896,           0.0036677,            0.013848,           0.0098416,           0.0098416,           0.0098416
                  10,            0.025573,            0.011568,            0.022893,             0.80526,             0.87459,             0.86305,             0.55836,            0.015284,           0.0034347,            0.008553,           0.0098218,           0.0098218,           0.0098218
                  11,            0.025741,            0.011476,            0.022146,              0.8319,             0.83861,             0.86765,             0.56042,            0.015656,           0.0036571,            0.010777,            0.009802,            0.009802,            0.009802
                  12,            0.025646,            0.011418,            0.022479,             0.81731,               0.815,             0.85446,             0.54346,            0.015379,           0.0035648,            0.012703,           0.0097822,           0.0097822,           0.0097822
                  13,            0.025478,            0.011393,            0.022129,             0.73515,             0.76943,             0.79757,             0.50205,            0.016599,           0.0038289,             0.01891,           0.0097624,           0.0097624,           0.0097624
                  14,            0.025557,            0.011375,            0.021937,             0.80312,             0.86968,             0.85488,             0.56344,            0.015263,           0.0034522,            0.010122,           0.0097426,           0.0097426,           0.0097426
                  15,            0.025501,            0.011324,            0.021826,             0.81206,             0.85915,             0.87398,             0.55848,             0.01557,           0.0035328,            0.010597,           0.0097228,           0.0097228,           0.0097228
                  16,            0.025227,            0.011351,             0.02227,             0.80914,             0.85012,             0.86875,              0.5631,            0.015094,           0.0034808,             0.01114,            0.009703,            0.009703,            0.009703
                  17,            0.025147,             0.01129,             0.02186,             0.78615,             0.84172,             0.84272,             0.54585,            0.015676,           0.0035079,            0.014835,           0.0096832,           0.0096832,           0.0096832
                  18,            0.025274,            0.011328,            0.022021,             0.79645,             0.88068,             0.86529,             0.56446,            0.015093,           0.0034827,           0.0088039,           0.0096634,           0.0096634,           0.0096634
                  19,            0.025307,            0.011365,            0.021992,             0.79717,             0.83916,             0.84577,             0.54618,            0.015814,           0.0034187,             0.01344,           0.0096436,           0.0096436,           0.0096436
                  20,            0.025162,            0.011297,            0.021923,             0.82299,             0.85488,              0.8719,              0.5634,            0.014686,           0.0035514,           0.0087077,           0.0096238,           0.0096238,           0.0096238
                  21,            0.025103,            0.011297,            0.021655,             0.82101,             0.84187,             0.87223,             0.57801,            0.014985,           0.0034101,             0.01057,            0.009604,            0.009604,            0.009604
                  22,            0.025075,            0.011379,            0.021324,             0.82497,             0.86411,              0.8711,             0.56806,            0.014912,           0.0034138,           0.0098877,           0.0095842,           0.0095842,           0.0095842
                  23,            0.025062,            0.011344,             0.02136,             0.83549,             0.87609,              0.8689,             0.57956,            0.015033,           0.0033889,           0.0072545,           0.0095644,           0.0095644,           0.0095644
                  24,            0.025058,              0.0113,            0.021013,             0.81262,             0.82614,              0.8579,               0.558,            0.015245,           0.0035045,            0.010494,           0.0095446,           0.0095446,           0.0095446
                  25,             0.02518,            0.011291,            0.021387,             0.80295,             0.82484,              0.8498,             0.55824,            0.015822,            0.003432,            0.013053,           0.0095248,           0.0095248,           0.0095248
                  26,            0.024932,            0.011308,            0.021353,             0.81975,             0.85146,             0.86897,             0.55609,            0.015865,           0.0036056,            0.012118,            0.009505,            0.009505,            0.009505
                  27,            0.025032,            0.011348,            0.021403,             0.83168,             0.85881,             0.87595,             0.57533,            0.015444,           0.0034245,            0.010371,           0.0094852,           0.0094852,           0.0094852
                  28,            0.025223,            0.011319,            0.021294,             0.83749,             0.84447,             0.87779,             0.57786,             0.01573,           0.0034299,            0.011007,           0.0094654,           0.0094654,           0.0094654
                  29,            0.024853,            0.011333,             0.02085,              0.7915,              0.8504,             0.85605,             0.57194,            0.014999,           0.0034076,            0.011769,           0.0094456,           0.0094456,           0.0094456
                  30,            0.024795,            0.011313,            0.021373,             0.82009,             0.86051,               0.868,             0.56223,            0.014878,           0.0035264,             0.01137,           0.0094258,           0.0094258,           0.0094258
                  31,            0.024907,            0.011317,            0.021553,             0.83023,             0.81663,             0.85406,              0.5643,            0.015658,           0.0034634,            0.010852,            0.009406,            0.009406,            0.009406
                  32,            0.024951,            0.011265,            0.021165,             0.81383,             0.86004,             0.85908,             0.56095,            0.015337,             0.00345,             0.01118,           0.0093862,           0.0093862,           0.0093862
                  33,            0.024855,            0.011225,            0.020813,             0.77683,             0.84335,             0.84612,             0.54749,             0.01502,           0.0035805,            0.011047,           0.0093664,           0.0093664,           0.0093664
                  34,            0.024873,            0.011107,            0.020334,             0.82237,             0.82061,             0.85438,             0.55847,            0.014845,           0.0035295,            0.010427,           0.0093466,           0.0093466,           0.0093466
                  35,            0.024772,            0.011277,            0.021399,             0.84072,             0.87134,             0.88534,             0.56581,            0.015328,            0.003512,            0.010019,           0.0093268,           0.0093268,           0.0093268
                  36,            0.024522,             0.01113,            0.020142,             0.82536,             0.88284,             0.87945,             0.56773,            0.015294,           0.0035198,            0.010119,            0.009307,            0.009307,            0.009307
